article_title,country,lastrevid,article_quality,population,region
Bernard Percival,Antigua and Barbuda,1073473676.0,Stub,0.1,CARIBBEAN
Alincia Williams-Grant,Antigua and Barbuda,1080767913.0,Start,0.1,CARIBBEAN
Joaquín Samuel de Anchorena,Argentina,1096421201.0,Start,46.2,SOUTH AMERICA
Juan Agustín Augier,Argentina,989941326.0,Stub,46.2,SOUTH AMERICA
Uladislao Augier,Argentina,1083670137.0,Stub,46.2,SOUTH AMERICA
Joaquín Belgrano,Argentina,1033486500.0,Start,46.2,SOUTH AMERICA
Antonio Bermejo,Argentina,1111012579.0,Start,46.2,SOUTH AMERICA
Antonio Beruti,Argentina,1072761348.0,Start,46.2,SOUTH AMERICA
Héctor Bidonde,Argentina,1091652004.0,Start,46.2,SOUTH AMERICA
Silvano Bores,Argentina,1035890502.0,Stub,46.2,SOUTH AMERICA
Pedro Braillard Poccard,Argentina,1100848745.0,Stub,46.2,SOUTH AMERICA
Exequiel Bustillo,Argentina,1096179751.0,Stub,46.2,SOUTH AMERICA
Mario Cafiero,Argentina,1102185475.0,Stub,46.2,SOUTH AMERICA
Alberto Manuel Campos,Argentina,1073206939.0,Start,46.2,SOUTH AMERICA
Alejo Castex,Argentina,1096414709.0,C,46.2,SOUTH AMERICA
Dámaso Centeno,Argentina,1096183091.0,Stub,46.2,SOUTH AMERICA
Carlos Corach,Argentina,1068148753.0,Stub,46.2,SOUTH AMERICA
Jorge Coscia,Argentina,1099409991.0,Stub,46.2,SOUTH AMERICA
Juan Carlos Del Bello,Argentina,1100037128.0,Stub,46.2,SOUTH AMERICA
Luis L. Domínguez,Argentina,1089356576.0,C,46.2,SOUTH AMERICA
Máximo Etchecopar,Argentina,1115155777.0,Start,46.2,SOUTH AMERICA
Héctor Toty Flores,Argentina,1067754685.0,Stub,46.2,SOUTH AMERICA
Juan Fugl,Argentina,1073206214.0,Stub,46.2,SOUTH AMERICA
Santiago Gallo,Argentina,1039135531.0,Start,46.2,SOUTH AMERICA
Manuel José García,Argentina,1007128573.0,Stub,46.2,SOUTH AMERICA
